"symbol";"company_name";"sector";"industry";"market_cap_category"
"PNB";"Punjab National Bank";"Financial Services";"Public Sector Bank";"Small Cap"
"RELAXO";"Relaxo Footwears";"Consumer Discretionary";"Footwear";"Small Cap"
"SUPREMEIND";"Supreme Industries";"Construction";"Plastic Products";"Small Cap"
"TATAINVEST";"Tata Investment Corporation";"Financial Services";"Investment Holding";"Small Cap"
"ARVS";"Arvind SmartSpaces";"Real Estate";"Real Estate Development";"Micro Cap"
"AVANTIFEED";"Avanti Feeds";"Consumer Staples";"Aquaculture";"Micro Cap"
"BCLIND";"BCL Industries";"Consumer Staples";"Distillery";"Micro Cap"
"BDL";"Bharat Dynamics";"Industrial";"Aerospace & Defense";"Micro Cap"
"BLS";"BLS International Services";"Services";"Visa Processing";"Micro Cap"
"CAMLIN";"Camlin Fine Sciences";"Chemicals";"Specialty Chemicals";"Micro Cap"
"DBREALTY";"DB Realty";"Real Estate";"Real Estate Development";"Micro Cap"
"DHANBANK";"Dhanlaxmi Bank";"Financial Services";"Private Bank";"Micro Cap"
"ESCORTS";"Escorts Kubota";"Industrial";"Tractors & Farm Equipment";"Micro Cap"
"EVEREADY";"Eveready Industries India";"Consumer Discretionary";"Batteries";"Micro Cap"
"GEPOWER";"GE Power India";"Industrial";"Electrical Equipment";"Micro Cap"
"GICHSGFIN";"GIC Housing Finance";"Financial Services";"Housing Finance";"Micro Cap"
"GMDCLTD";"Gujarat Mineral Development Corporation";"Materials";"Mining";"Micro Cap"
"HFCL";"HFCL";"Telecommunication";"Telecom Equipment";"Micro Cap"
"INDIANHLS";"Indian Hotels Company";"Consumer Discretionary";"Hotels & Resorts";"Micro Cap"
"IRCON";"Ircon International";"Construction";"Engineering & Construction";"Micro Cap"
"JETAIRWAYS";"Jet Airways";"Transportation";"Airlines";"Micro Cap"
"JINDALSTEL";"Jindal Steel & Power";"Materials";"Steel";"Micro Cap"
"JVLEP";"Jaypee Infratech";"Construction";"Real Estate";"Micro Cap"
"LTTS";"L&T Technology Services";"Technology";"IT Services";"Micro Cap"
"MMTC";"MMTC Ltd";"Materials";"Trading";"Micro Cap"
"NAM-INDIA";"Nippon Life India Asset Management";"Financial Services";"Asset Management";"Micro Cap"
"NBCC";"NBCC (India)";"Construction";"Engineering & Construction";"Micro Cap"
"NLCINDIA";"NLC India";"Energy";"Power Generation";"Micro Cap"
"ONGC";"Oil and Natural Gas Corporation";"Energy";"Oil & Gas Exploration";"Micro Cap"
"PFC";"Power Finance Corporation";"Financial Services";"NBFC";"Micro Cap"
"PNBGILTS";"PNB Gilts";"Financial Services";"Government Securities";"Micro Cap"
"RBLBANK";"RBL Bank";"Financial Services";"Private Bank";"Micro Cap"
"RCOM";"Reliance Communications";"Telecommunication";"Telecom Services";"Micro Cap"
"ROLTA";"Rolta India";"Technology";"Software";"Micro Cap"
"SFL";"Shriram Finance Ltd";"Financial Services";"NBFC";"Micro Cap"
"SITRADE";"S I T R A D E";"Services";"Trading";"Micro Cap"
"SPICEJET";"SpiceJet";"Transportation";"Airlines";"Micro Cap"
"TANLA";"Tanla Platforms";"Technology";"Telecom Software";"Micro Cap"
"TATAMOTORS";"Tata Motors";"Automotive";"Automobiles";"Micro Cap"
"TITAN";"Titan Company";"Consumer Discretionary";"Jewellery & Watches";"Micro Cap"
"UNITECH";"Unitech Ltd";"Real Estate";"Real Estate Development";"Micro Cap"
"VARUNBEV";"Varun Beverages";"Consumer Staples";"Beverages";"Micro Cap"
"VODAFONE";"Vodafone Idea";"Telecommunication";"Telecom Services";"Micro Cap"
"YESBANK";"Yes Bank";"Financial Services";"Private Bank";"Micro Cap"
