"date";"symbol";"open";"high";"low";"close";"volume"
"2022-01-03";"HINDUNILVR";2708.82;2800.01;2638.04;2764.98;526330
"2022-01-03";"SBIN";2625.59;2710.47;2540.53;2571.35;1698350
"2022-01-03";"BAJFINANCE";2157.43;2185.3;2071.97;2144.66;1596244
"2022-01-03";"AXISBANK";1072.46;1114.96;980.16;1056.85;1609334
"2022-01-03";"KOTAKBANK";1975.7;2044.66;1942.05;1959.29;4875584
"2022-01-04";"RELIANCE";3573.85;3637.87;3560.07;3605.31;3201411
"2022-01-04";"TCS";2688.44;2731.06;2666.61;2696.13;2899628
"2022-01-04";"INFY";1969.55;2066.84;1911.09;2061.08;4713932
"2022-01-04";"HDFCBANK";664.67;695.33;572.17;645.14;318527
"2022-01-04";"ICICIBANK";1907.43;1942.09;1832.48;1843.35;1753672
"2022-01-04";"HINDUNILVR";3490.15;3510.65;3410.04;3416.45;2184506
"2022-01-04";"SBIN";1573.24;1670.84;1540.96;1643.22;874050
"2022-01-04";"BAJFINANCE";1457.9;1480.0;1409.64;1422.04;2875406
"2022-01-04";"AXISBANK";553.13;583.79;489.37;551.85;4951024
"2022-01-04";"KOTAKBANK";1167.81;1196.95;1152.12;1170.04;4473095
"2022-01-05";"RELIANCE";2254.15;2340.98;2223.27;2301.03;2651238
"2022-01-05";"TCS";689.9;759.65;661.71;714.39;356035
"2022-01-05";"INFY";2732.35;2778.26;2696.06;2712.15;3608547
"2022-01-05";"HDFCBANK";630.85;674.56;536.2;667.21;2507127
"2022-01-05";"ICICIBANK";986.84;1050.26;921.01;1032.19;674780
"2022-01-05";"HINDUNILVR";658.74;748.88;615.28;619.91;2012470
"2022-01-05";"SBIN";3915.14;3996.08;3902.2;3949.64;1337732
"2022-01-05";"BAJFINANCE";3977.81;4058.99;3948.84;3987.47;2263249
"2022-01-05";"AXISBANK";2914.83;2936.51;2879.4;2898.28;2794905
"2022-01-05";"KOTAKBANK";1726.0;1772.98;1664.6;1747.12;3408284
"2022-01-06";"RELIANCE";1600.62;1630.34;1524.36;1536.47;4857335
"2022-01-06";"TCS";3411.78;3489.09;3347.21;3425.7;3666366
"2022-01-06";"INFY";1199.78;1232.56;1163.48;1171.64;3898816
"2022-01-06";"HDFCBANK";1213.45;1299.83;1185.16;1297.57;597093
"2022-01-06";"ICICIBANK";652.57;727.77;595.85;695.98;1947936
"2022-01-06";"HINDUNILVR";1330.62;1371.02;1240.86;1359.79;1287543
"2022-01-06";"SBIN";2141.57;2227.96;2050.49;2227.69;1343643
"2022-01-06";"BAJFINANCE";3578.31;3646.73;3536.93;3576.29;1878749
"2022-01-06";"AXISBANK";1967.92;2043.81;1922.86;2024.49;3508847
"2022-01-06";"KOTAKBANK";3168.23;3263.67;3111.77;3226.17;276201
"2022-01-07";"RELIANCE";3568.27;3610.67;3482.21;3553.39;1232037
"2022-01-07";"TCS";3801.53;3895.2;3744.26;3879.8;489331
"2022-01-07";"INFY";2759.47;2824.13;2666.34;2803.96;396085
"2022-01-07";"HDFCBANK";3022.55;3038.01;2950.01;3006.66;172774
"2022-01-07";"ICICIBANK";2828.72;2842.92;2780.49;2812.67;1999119
"2022-01-07";"HINDUNILVR";944.1;986.93;850.51;895.29;4392096
"2022-01-07";"SBIN";2839.37;2867.39;2810.14;2820.31;4108734
"2022-01-07";"BAJFINANCE";3245.19;3278.14;3180.55;3180.87;3757241
"2022-01-07";"AXISBANK";587.91;679.98;565.12;612.5;1133599
"2022-01-07";"KOTAKBANK";807.03;870.79;717.1;830.44;4624904
"2022-01-08";"RELIANCE";3025.91;3067.22;2931.09;3012.8;1907553
"2022-01-08";"TCS";2732.18;2752.67;2705.2;2719.11;2534571
"2022-01-08";"INFY";565.39;657.17;514.88;616.09;1478642
"2022-01-08";"HDFCBANK";816.21;901.73;730.76;889.12;1251331
"2022-01-08";"ICICIBANK";938.24;1006.9;899.63;960.28;4891210
"2022-01-08";"HINDUNILVR";821.9;881.64;810.39;870.4;2563742
"2022-01-08";"SBIN";3077.66;3145.14;3023.97;3074.02;4269960
"2022-01-08";"BAJFINANCE";1682.62;1743.43;1610.68;1705.95;1521041
"2022-01-08";"AXISBANK";3362.65;3420.48;3322.0;3411.39;3074467
"2022-01-08";"KOTAKBANK";3468.11;3540.65;3449.15;3450.99;2108695
"2022-01-09";"RELIANCE";3990.61;4010.8;3954.62;3992.27;2701313
"2022-01-09";"TCS";1699.15;1745.68;1600.85;1720.13;3616609
"2022-01-09";"INFY";1426.49;1457.34;1399.61;1451.69;2400532
"2022-01-09";"HDFCBANK";3124.3;3201.38;3038.47;3130.47;340309
"2022-01-09";"ICICIBANK";3199.61;3296.7;3145.95;3292.06;3973251
"2022-01-09";"HINDUNILVR";2867.79;2908.41;2820.32;2846.11;1392650
"2022-01-09";"SBIN";2990.79;3050.2;2931.22;2941.04;1124898
"2022-01-09";"BAJFINANCE";805.3;820.75;751.5;765.08;1925201
"2022-01-09";"AXISBANK";780.89;819.2;737.73;798.53;3357222
"2022-01-09";"KOTAKBANK";1740.89;1818.58;1674.24;1674.93;1249150
"2022-01-10";"RELIANCE";891.36;928.47;795.78;815.44;2611813
"2022-01-10";"TCS";1268.46;1332.6;1174.99;1179.07;4191860
"2022-01-10";"INFY";2122.5;2190.14;2035.62;2092.5;4979679
"2022-01-10";"HDFCBANK";2532.83;2548.71;2493.52;2528.72;1498138
"2022-01-10";"ICICIBANK";3264.77;3338.98;3228.67;3273.33;1366355
"2022-01-10";"HINDUNILVR";3944.89;3965.48;3885.93;3947.73;2510204
"2022-01-10";"SBIN";3396.09;3437.78;3366.92;3380.12;4719284
"2022-01-10";"BAJFINANCE";2033.26;2054.67;1977.54;1986.06;4142234
"2022-01-10";"AXISBANK";3295.59;3355.24;3257.78;3334.08;2810323
"2022-01-10";"KOTAKBANK";2581.41;2594.24;2542.87;2562.52;167690
"2022-01-11";"RELIANCE";1034.96;1047.34;973.23;1008.7;4641547
"2022-01-11";"TCS";2160.98;2245.0;2077.92;2192.25;3534257
"2022-01-11";"INFY";1465.3;1494.39;1402.2;1488.0;1787321
"2022-01-11";"HDFCBANK";1924.97;2016.44;1873.76;1958.15;2937563
"2022-01-11";"ICICIBANK";3720.47;3752.46;3637.37;3666.61;2366319
"2022-01-11";"HINDUNILVR";905.95;1002.98;868.57;945.07;2659509
"2022-01-11";"SBIN";2953.58;2987.32;2942.76;2970.49;4066252
"2022-01-11";"BAJFINANCE";2042.5;2124.22;1970.04;2031.86;4150717
"2022-01-11";"AXISBANK";3386.78;3483.67;3366.43;3383.35;3913293
"2022-01-11";"KOTAKBANK";3319.65;3401.0;3220.15;3341.48;3153317
"2022-01-12";"RELIANCE";3116.62;3167.68;3065.33;3144.22;4312325
"2022-01-12";"TCS";3843.07;3869.73;3762.68;3832.69;2082949
"2022-01-12";"INFY";3272.97;3286.46;3226.51;3283.79;628632
"2022-01-12";"HDFCBANK";1889.59;1960.99;1816.97;1899.53;358554
"2022-01-12";"ICICIBANK";2257.41;2268.04;2235.82;2238.98;250578
"2022-01-12";"HINDUNILVR";2502.36;2557.34;2421.06;2512.5;2026608
"2022-01-12";"SBIN";2669.28;2742.14;2649.99;2728.39;3140096
"2022-01-12";"BAJFINANCE";2109.59;2197.46;2083.4;2143.72;1023632
"2022-01-12";"AXISBANK";2233.11;2275.78;2190.18;2245.62;609488
"2022-01-12";"KOTAKBANK";503.83;583.3;463.37;503.85;2607420
"2022-01-13";"RELIANCE";727.03;738.91;708.61;729.94;4822572
"2022-01-13";"TCS";2178.89;2207.19;2080.54;2164.9;2304457
"2022-01-13";"INFY";3678.42;3690.69;3598.06;3619.39;3580132
"2022-01-13";"HDFCBANK";2463.35;2489.42;2449.13;2463.02;3649009
"2022-01-13";"ICICIBANK";1095.45;1179.03;1084.22;1118.19;3432702
"2022-01-13";"HINDUNILVR";3096.49;3193.2;3085.82;3139.68;1413196
"2022-01-13";"SBIN";3119.98;3206.91;3062.66;3176.49;1921023
"2022-01-13";"BAJFINANCE";2719.53;2801.0;2702.78;2791.42;1447925
"2022-01-13";"AXISBANK";3394.42;3414.08;3327.97;3401.03;2544146
"2022-01-13";"KOTAKBANK";3749.0;3838.29;3683.26;3733.94;1471164
"2022-01-14";"RELIANCE";3291.16;3346.34;3220.43;3340.81;746228
"2022-01-14";"TCS";1306.12;1385.98;1280.57;1364.52;2567544
"2022-01-14";"INFY";3976.42;4051.32;3941.85;3967.12;1444348
"2022-01-14";"HDFCBANK";1589.18;1646.82;1556.41;1602.23;2687948
"2022-01-14";"ICICIBANK";2526.49;2626.21;2495.71;2584.87;2220364
"2022-01-14";"HINDUNILVR";3048.18;3121.35;2976.02;3024.12;3747827
"2022-01-14";"SBIN";2119.63;2175.58;2041.84;2143.91;3327478
"2022-01-14";"BAJFINANCE";3473.02;3505.64;3418.91;3493.57;4458381
"2022-01-14";"AXISBANK";2560.15;2623.31;2549.06;2571.14;1610811
"2022-01-14";"KOTAKBANK";846.7;939.72;796.64;903.58;2854589
"2022-01-15";"RELIANCE";527.26;573.15;436.13;565.81;2269903
"2022-01-15";"TCS";561.66;585.13;490.87;579.29;4457435
"2022-01-15";"INFY";1605.98;1665.48;1594.84;1628.53;4118052
"2022-01-15";"HDFCBANK";1382.57;1479.43;1345.37;1348.34;3307739
"2022-01-15";"ICICIBANK";2324.27;2358.55;2256.67;2306.03;4469294
"2022-01-15";"HINDUNILVR";2441.06;2477.23;2406.69;2419.17;806251
"2022-01-15";"SBIN";1844.6;1869.01;1758.49;1844.41;4708826
"2022-01-15";"BAJFINANCE";1214.56;1291.33;1149.65;1214.83;168250
"2022-01-15";"AXISBANK";2265.99;2301.77;2205.19;2245.85;2516293
"2022-01-15";"KOTAKBANK";2593.32;2643.92;2548.52;2628.74;2685559
